ImageID,original_firstorder_Minimum,wavelet-LLH_firstorder_Mean,wavelet-LHL_firstorder_Mean,wavelet-LHH_firstorder_Mean,wavelet-LHH_firstorder_Skewness,wavelet-HLL_firstorder_Mean,wavelet-HLH_firstorder_Mean,wavelet-HLH_firstorder_Skewness,wavelet-HHL_firstorder_Mean,wavelet-HHL_firstorder_Skewness,wavelet-HHL_glcm_Idmn,wavelet-HHH_firstorder_Mean,wavelet-HHH_firstorder_Skewness,wavelet-HHH_glcm_Idmn
UCSF-PDGM-0437_T2,0.0,-0.2597501877508676,-0.3191290816266285,9.640428686241702e-05,0.0051676390702919,-0.0119018550231577,-9.066745811557017e-18,-0.0945122840559514,-2.367092267617237e-17,0.1516267274280963,0.9990130537051578,2.219505794129115e-18,0.4879042226241107,0.9992408727379468
UCSF-PDGM-0401_T2,0.0,-0.306176042367706,-0.1116909990249825,-9.231843049360712e-05,0.4220777211218761,-0.0165779407375411,-1.5926292773077224e-17,0.1592217203801583,1.0092289616584633e-17,0.3630052200788888,0.9991124633422808,-2.5988441156361962e-18,0.0498625899220719,0.9991624566243495
UCSF-PDGM-0369_T2,0.0,-0.3386506011564832,-0.2108026133831788,-5.53210455271364e-17,0.2188021675356712,0.0001760564520316,-3.4052235407061544e-17,0.0552234542616377,-2.67198535026216e-17,0.798271418311419,0.999510778404872,2.0733626502463058e-18,0.1924351347640504,0.9996079577125936
UCSF-PDGM-0477_T2,0.0,-0.1938596804121524,-0.3100968911615697,0.0004211921042523,0.0586296947844858,-0.0098213560809298,-3.5349663497925184e-18,0.0701435019790435,-4.59341319134953e-17,0.2621466870497681,0.9990992671954632,1.3978172723393394e-17,0.0898390412524583,0.9994502533949372
UCSF-PDGM-0496_T2,0.0,-0.5248837871057814,-0.2042669160916397,-0.0006162792363738,-0.0402614792401585,0.0003834722661556,-4.846396368362756e-17,-0.1312668196760538,5.243482489619893e-18,-0.3784489503857253,0.99916355166764,8.404336458650491e-18,0.3060033603397683,0.9993945292133648
UCSF-PDGM-0402_T2,0.0,-0.0324445192385479,-0.0958350383891912,-0.0013537020860683,0.1278128046832339,-0.1703449681128735,-1.6942269517452846e-17,0.1993248088993527,-2.74358219301454e-17,0.3214159509927048,0.999008287042892,-3.0023858830424004e-18,-0.099562431304649,0.999321969193986
UCSF-PDGM-0131_T2,0.0,-0.0942955383139824,-0.1244987761080973,0.0001561487394365,-0.0674472402300452,-0.0180545292342525,-2.581098094623988e-17,0.1237343547045771,3.1899769085847218e-18,-0.2117788572497986,0.9995688049665724,4.822431534622208e-18,0.2341032120644758,0.9996319631151986
UCSF-PDGM-0331_T2,0.0,-0.2058912720892261,-0.0901787251659866,-1.6127076144456533e-17,0.26248865410855,-0.0048606374351306,-1.2546540185309353e-17,0.3201994080799311,-2.275958481981307e-17,0.1398569713580029,0.9996898320694076,1.3994604518124978e-18,0.0458878470131708,0.999712233942916
UCSF-PDGM-0118_T2,0.0,-0.1347767514622537,-0.1637704306289055,-2.8729168858883946e-17,0.1526828847149888,-0.0006816247375431,-8.404972639498904e-18,0.1522592212467279,-2.5812566297218346e-17,0.1785070481291242,0.9993034965297796,3.5661694767330905e-18,-0.0391864181734372,0.9996342299796724
UCSF-PDGM-0066_T2,0.0,-1.1390922077916217,-0.6092394954377708,-0.0134262203754978,0.7049888626508202,0.0211618171512706,-1.9642940910937047e-05,0.3813191916152601,-0.000110513676225,1.2653689157470849,0.9989118478985584,7.036769496862614e-07,-0.4814882927216439,0.9990481821584348
UCSF-PDGM-0119_T2,0.0,0.2560636954310977,-0.2301636246418461,-3.898030773936389e-05,0.4854527135340181,-0.0666247418301458,-6.603118784057757e-05,0.4433635123269871,4.802123563565542e-05,0.4683086567925024,0.9994205842104584,-8.927186023246618e-08,-0.3717813193017338,0.9996204993217545
UCSF-PDGM-0533_T2,0.0,-0.0646269162246217,-0.0253618714235868,-9.08617248679326e-18,0.1011091936420691,0.0002118318764471,-6.0956722967541795e-18,0.3993607928338741,-3.513967619735066e-18,0.2396917756615781,0.9994478858277508,4.616602002108752e-19,-0.2134904296286655,0.9994756252532706
UCSF-PDGM-0470_T2,0.0,-0.1903021483842955,-0.1667059543213935,0.0021502656913346,0.314730451835728,-0.064829517865585,-4.782932905732896e-17,0.2826386582914647,-2.535966728722289e-17,0.3066840935593601,0.9990853208078636,9.385961656770496e-18,-0.238673479238838,0.99931359724246
UCSF-PDGM-0166_T2,0.0,-0.2263674123280951,-0.0577696811766855,-0.0003128478829085,0.3468503815990476,-0.0124233679302011,-1.2799565825718301e-17,0.4630360085528174,-7.115913967658603e-18,0.4623856946190093,0.9995313706726514,5.579239723287033e-18,-0.1436968424415583,0.999653576155068
UCSF-PDGM-0284_T2,0.0,-0.1454201806544585,-0.158671665775252,-2.787679103270958e-17,0.0718838489913226,4.360324150676792e-06,-1.18016455702956e-17,0.1045779718616901,-1.7378834006956478e-17,0.0821150368988727,0.9996055477224888,1.0143726922411108e-18,0.0061321951194361,0.9997410053748506
UCSF-PDGM-0445_T2,0.0,-0.3380957600463933,0.1424149569999918,-0.0017437334636852,0.2596222551679989,-0.0642479678306262,4.463494574556776e-05,0.2167506251493759,1.4151666500504197e-05,0.6602351021992806,0.9994140777382068,3.311073404237174e-06,-0.5409800201494268,0.9994390438884692
UCSF-PDGM-0344_T2,0.0,-0.0645251026563817,-0.0802051584877111,-1.294051776765156e-05,0.2358071313815273,-0.0056346583302111,-4.4040735803239984e-18,0.3002396775726536,-1.1047484807652693e-17,0.0523394781318877,0.9998390733516204,-1.967298639341576e-18,-0.1882235906282838,0.9997897558265092
UCSF-PDGM-0025_T2,0.0,-0.1143747142157463,-0.0672150454200022,-4.986527766863172e-19,0.2860607868865525,-0.0083999883437718,-9.990581580566346e-18,0.5311808108075868,-1.498840990497289e-17,0.5357803666361427,0.9996560232221164,-6.417644023267014e-19,-0.1082611594992708,0.9996484929924836
UCSF-PDGM-0261_T2,0.0,-0.0602874647598409,-0.0973906844923548,-0.0001500698366207,0.2024819777742345,-0.0501995452170325,-1.9322404457440544e-17,0.1140638946432249,-1.5358399328770418e-17,0.1580389512787236,0.9992310212509856,-3.336323860078993e-18,-0.0500288339796696,0.9996600849097984
UCSF-PDGM-0026_T2,0.0,-0.547667658511627,-0.2789617228406351,0.0009100910990247,-0.4069979511384673,0.0050194266873823,-3.592979832091178e-17,-0.1141748884983284,-1.9523399251307312e-17,-0.5269699047375628,0.9994966331840274,-3.75706342656195e-18,0.7557421174658454,0.9996377077299254
UCSF-PDGM-0455_T2,0.0,-0.2061793563348544,-0.0919347478362956,-1.5788762643643118e-05,-0.0069110670784588,-0.0203671296900323,-1.007023413506475e-06,-0.1116191960414102,-1.7577483926920898e-06,0.4198974945256538,0.9995743527837294,-2.055438889138363e-09,0.0241755852040528,0.9996919371952704
UCSF-PDGM-0115_T2,0.0,-0.1949982760615819,-0.1605988421842303,0.0011603196281621,0.3961747814568951,-0.0290594476837466,1.6222436889500006e-18,0.3358143444883645,-6.764898902307626e-18,0.3053645390635723,0.9991785310944538,2.1859852641423028e-18,0.0281849507594525,0.9994323353417928
UCSF-PDGM-0460_T2,0.0,-0.0782986979416534,-0.0573770052740221,0.0002164657289819,0.2445950347241938,-0.0050895829585978,-1.250876330106836e-17,0.1583759124613877,-1.802784455994639e-17,0.4330789464727929,0.9994998759810048,4.1057557392006735e-18,0.2086366867427217,0.9995691465976686
UCSF-PDGM-0436_T2,0.0,-0.1713196832769017,-0.1639212468313527,0.0023551940967205,0.1222419304405121,-0.0263603474581742,-4.107647392870746e-17,0.0877945351973952,1.020878721459542e-06,0.1778450864095996,0.9994414132611068,6.3956567742076056e-18,-0.2595195649194336,0.9993626031256048
UCSF-PDGM-0422_T2,0.0,0.2606591957708339,-0.3381352366728634,-0.0030624725109237,-0.0136684941125399,-0.0606690364622948,0.0001759198944266,-0.0175654022040387,0.0001697673454944,-0.0233993767525929,0.998915575488739,-1.0325119943049814e-06,0.3246750293494896,0.9992918279363612
UCSF-PDGM-0132_T2,0.0,-0.2862367375241708,-0.1709455654869462,-0.0005067258759388,0.3243305859081059,-0.0288084887936731,-1.8592846060233488e-17,0.3014927799642396,-7.851993327471062e-18,0.5957476267956648,0.9996753464070416,-1.2445647101330028e-18,-0.2530621057062308,0.9997923253256832
UCSF-PDGM-0204_T2,-43.629638671875,-0.0692799023984784,-0.1673779740862564,-0.0007260689167358,0.0346553079388597,0.0020306866549926,-1.0896383059989517e-17,0.0754383295825438,-1.2496618210382445e-17,-0.0604883078813714,0.9992818228244886,7.354374119320813e-18,0.1250272371412733,0.9993226169063684
UCSF-PDGM-0482_T2,0.0,-0.2871561863920401,-0.1163981382965086,-2.702871993434828e-17,0.3856710000011933,-0.0274753173567141,-3.1501886528082547e-17,0.4551068841356922,-1.2423447399949505e-17,0.5663866519130251,0.9996283773213606,6.513417219526161e-19,0.1507685521931464,0.9997656177241576
UCSF-PDGM-0357_T2,0.0,-0.5914559995669229,-0.3360588495178078,-0.0012816314008335,0.3597972151853067,6.888411047729996e-14,-6.521958476821455e-17,0.1866521503683892,4.9276660193353306e-18,0.4158573554845017,0.9991585385457392,-1.3168635625224536e-17,-0.2102872757449153,0.9995616999459248
UCSF-PDGM-0089_T2,0.0,-0.113492359250202,-0.1791872866511963,-1.775772410792135e-17,0.5279655837328515,-0.0185922408200107,-7.128915821660502e-18,0.5631846729812368,-1.986611988653237e-17,0.7113386970167609,0.9998580076700953,-7.626793335907483e-19,-0.14670544498185,0.9998672726116652
UCSF-PDGM-0541_T2,0.0,-0.1551509522308767,-0.1786096784626175,0.0003304684721975,-0.105857952140476,0.0008133396579047,-1.639317461585437e-17,0.1073847937751755,-8.85194411196158e-18,-0.4849040866214955,0.9995338312917248,8.142499555085882e-18,0.2353983894531347,0.9996859982107876
UCSF-PDGM-0031_T2,0.0,5.066910706165858e-14,-0.1762288577515485,-1.4337004198440846e-17,-0.2554067884197946,-0.0043409222499374,4.74918239433134e-19,0.5247022652681776,-1.4592378049068967e-17,-0.2524456193273157,0.9999012723248212,1.5998007912959534e-18,0.5636136315067467,0.9999264425093852
UCSF-PDGM-0241_T2,0.0,-0.2116586957014889,-0.1046741079195689,-0.0006935994981019,0.1408640787884691,7.794416582287317e-14,1.8402647515245072e-18,0.3387655000017085,-1.32298520438124e-17,0.2845940142875523,0.9996695107249524,-6.59428202629615e-18,0.0907433537672619,0.9995942872995818
UCSF-PDGM-0504_T2,0.0,-0.1976760892207719,0.0385389779208884,0.0011848727859544,0.2351635781814635,6.807613475435479e-14,-1.2860287276496836e-17,0.2020663143454436,-5.134623923678812e-18,0.5248701259413489,0.9989679610239588,-7.531098120959587e-18,-0.165869759868714,0.9991817384024771
UCSF-PDGM-0055_T2,0.0,-0.2172464528451463,-0.1781368342945462,-2.624793664878622e-17,0.2790498021063011,0.0001161288569785,-1.6973213215311886e-17,-0.3217864798570549,-1.933070422428765e-17,0.14372506617305,0.9996626252330644,-1.86360927845833e-18,0.2411720693339346,0.9997616938847246
UCSF-PDGM-0512_T2,0.0,-0.1516698147143809,-0.2203549984582365,2.608305976657459e-05,0.0327843286936041,-0.0212340808459001,1.0807700660213234e-18,-0.0335367165787348,-1.3045206825057217e-17,0.0522924702908208,0.9992974229527888,3.2906872974141386e-18,0.0843873680415473,0.9995355489013554
UCSF-PDGM-0288_T2,0.0,-0.5565300885531684,-0.0476200024148889,-7.994108381883176e-05,0.4274340582030585,-0.0255850975417868,-7.632285882548566e-17,0.2708046597056116,-7.1016043086895296e-06,0.9271550419824812,0.9994694493301456,-7.561763950080344e-18,-0.4143671155230258,0.9996899226257516
UCSF-PDGM-0367_T2,0.0,-0.2455866433454873,-0.1015738850445189,-1.972086616712738e-05,0.4618215194234473,0.0013013628491956,-2.527577470052367e-17,0.0290158553065608,-5.356279879404792e-18,0.8798606917634889,0.999455133307925,9.02361224146713e-18,-0.0739905982720872,0.9994670821301738
UCSF-PDGM-0155_T2,0.0,0.3653475985602489,-0.3860342534930041,-0.0003989406311441,0.286184729003151,-0.0115669519570239,-0.0001749901937229,0.3043906499310145,-1.84765666857654e-17,0.2395597735249977,0.99960020294945,9.132276781605552e-20,-0.0533599555265417,0.9997030779551316
UCSF-PDGM-0458_T2,0.0,-0.1270880205145986,-0.1579420046954736,-5.442482748695599e-05,0.006471479382336,0.0019681974912278,-6.421712223151981e-18,0.1059938100853106,-9.521095876932964e-18,0.3054696998885577,0.9995518898411284,7.414425978283663e-18,0.1120175970657352,0.9996530302076748
UCSF-PDGM-0023_T2,0.0,-0.183704329134392,-0.2463418031024469,0.0002774244614734,-0.0183120152691153,0.0007829020475758,1.2499197051668934e-05,0.1190600041614485,-1.0813735902325491e-06,0.1085158956291825,0.9995023474650638,5.7689983273747443e-08,0.3038330709838172,0.9994196138354148
UCSF-PDGM-0123_T2,0.0,-0.0975723459535025,-0.1647726612732531,1.3332505631066065e-05,0.5201923597737195,-0.0322733831446377,-1.2605921182682432e-17,0.4713917900013808,-1.2987198634847173e-17,0.7519317228899534,0.9997762002780958,-9.76614467581859e-19,-0.2924563412757021,0.999779666339673
